text,label
"2nd SBC RWK:#10/#17/ 
Release:#02/03/04/05/06/07/08/09/11/12/13/14/15/16/18/19/20/21/22/23/24/25/ ",__label__Split
"2nd SBC RWK:#02/03/11/ 
Release:#01/04/05/06/07/08/09/10/12/13/14/15/16/17/18/19/20/21/22/23/24/25/ ",__label__Split
"2nd SBC RWK:#11/ 
Release:#01/02/03/04/05/06/07/08/09/10/12/13/14/15/17/18/19/20/21/22/23/24/25/ ",__label__Split
"2nd SBC RWK:#22/ 
Release:#01/02/03/04/05/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/23/24/25/ ",__label__Split
"2nd SBC RWK:#10/ 
Release:#01/04/05/06/07/08/09/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/ ",__label__Split
"2nd SBC RWK:#10/ 
Release:#01/04/05/06/07/08/09/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/ ",__label__Split
"2nd SBC RWK:#10/ 
Release:#01/04/05/06/07/08/09/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/ ",__label__Split
"2nd SBC RWK:#14/ 
Release:#01/02/03/04/05/06/07/08/09/10/11/12/13/15/16/17/18/19/20/21/22/23/24/25/ 
Lot id: SSDFTG.00W ",__label__Split
"2nd SBC RWK:#01/ 
Release:#02/03/04/05/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/",__label__Split
"2nd SBC RWK:#01/ 
Release:#02/03/04/05/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/",__label__Split
"2nd SBC RWK:#01/ 
Release:#02/03/04/05/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/",__label__Split
"2nd SBC RWK:#01/ 
Release:#02/03/04/05/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/",__label__Split
"2nd SBC RWK:#01/ 
Release:#02/03/04/05/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/",__label__Split
"2nd SBC RWK:#01/ 
Release:#02/03/04/05/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/",__label__Split
"2nd SBC RWK:#01/ 
Release:#02/03/04/05/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/",__label__Split
"2nd SBC RWK:#01/ 
Release:#02/03/04/05/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/",__label__Split
"2nd SBC RWK:#01/ 
Release:#02/03/04/05/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/",__label__Split
"2nd SBC RWK:#01/ 
Release:#02/03/04/05/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/",__label__Split
"2nd SBC RWK:#01/ 
Release:#02/03/04/05/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/",__label__Split
"2nd SBC RWK:#01/ 
Release:#02/03/04/05/06/07/08/09/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/",__label__Split
